Province	Confirmed	Suspected	Death	Recovered	Link	Comments
Total	40339	23589	909	3471	http://3g.dxy.cn/newh5/view/pneumonia	
Hubei	29631					
Guangdong	1159					
Zhejiang	1092					
Henan	1073					
Hunan	879					
Anhui	830					
Jiangxi	771					
Jiangsu	492					
Chongqing	473					
Shandong	466					
Sichuan	405					
Beijing	337					
Heilongjiang	331					
Shanghai	299					
Fujian	261					
Hebei	218					
Shaanxi	213					
Guangxi	210					
Yunnan	149					
Hainan	138					
Shanxi	119					
Guizhou	109					
Liaoning	108					
Tianjin	94					
Gansu	83					
Jilin	80					
Inner Mongolia	58					
Ningxia	49					
Xinjiang	49					
Hong Kong	102					
Taiwan	32					
Qinghai	18					
Macau	10					
Tibet	1					
						
South Korea 	7478					
Other (cruise ship)	696					
Italy 	7375					
Japan 	381					
Iran	7161					
Singapore 	112					
US 	86					
Thailand 	41					
Taiwan 	34					
Kuwait	56					
Bahrain	36					
Malaysia 	23					
Australia 	23					
Germany 	1151					
France 	1209					
Vietnam 	16					
UAE 	21					
UK	20					
Spain	979					
Canada 	11					
Iraq	5					
Oman	4					
Phillipines	3					
India	3					
Russia	2					
Israel	2					
Austria	2					
Sweden 	1					
Sri Lanka	1					
Nepal 	1					
Finland 	1					
Egypt 	1					
Cambodia 	1					
Belgium	1					
Lebanon	1					
Afghanistan	1					
Algeria	1					
Switzerland	93					
						
						
Total	27033					
